1442,"Amberieu","Amberieu","France","","LFXA",45.987335,5.328445,823,1,"E","Europe/Paris"
1443,"Damblain","Damblain","France","","LFYD",48.086325,5.664058,1280,1,"E","Europe/Paris"
1444,"Andravida","Andravida","Greece","PYR","LGAD",37.920708,21.292583,55,2,"E","Europe/Athens"
1445,"Agrinion","Agrinion","Greece","AGQ","LGAG",38.602022,21.351208,154,2,"E","Europe/Athens"
1446,"Dimokritos","Alexandroupolis","Greece","AXD","LGAL",40.855869,25.956264,24,2,"E","Europe/Athens"
1447,"Alexandria","Alexandria","Greece","","LGAX",40.651128,22.488739,27,2,"E","Europe/Athens"
1448,"Nea Anchialos","Nea Anghialos","Greece","VOL","LGBL",39.219619,22.794339,83,2,"E","Europe/Athens"
1449,"Elefsis","Elefsis","Greece","","LGEL",38.063831,23.556011,143,2,"E","Europe/Athens"
1450,"Chios","Chios","Greece","JKH","LGHI",38.343175,26.140572,15,2,"E","Europe/Athens"
1451,"Ioannina","Ioannina","Greece","IOA","LGIO",39.696388,20.8225,1558,2,"E","Europe/Athens"
1452,"Nikos Kazantzakis","Heraklion","Greece","HER","LGIR",35.339719,25.180297,115,2,"E","Europe/Athens"
1453,"Aristotelis","Kastoria","Greece","KSO","LGKA",40.446294,21.282186,2167,2,"E","Europe/Athens"
1454,"Kithira","Kithira","Greece","KIT","LGKC",36.274258,23.016978,1045,2,"E","Europe/Athens"
1455,"Kefallinia","Keffallinia","Greece","EFL","LGKF",38.120069,20.500481,59,2,"E","Europe/Athens"
1456,"Kalamata","Kalamata","Greece","KLX","LGKL",37.068319,22.025525,26,2,"E","Europe/Athens"
1457,"Amigdhaleon","Kavala","Greece","","LGKM",40.972775,24.341417,203,2,"E","Europe/Athens"
1458,"Kos","Kos","Greece","KGS","LGKO",36.793335,27.091667,412,2,"E","Europe/Athens"
1459,"Karpathos","Karpathos","Greece","AOK","LGKP",35.421408,27.146008,66,2,"E","Europe/Athens"
1460,"Ioannis Kapodistrias Intl","Kerkyra/corfu","Greece","CFU","LGKR",39.601944,19.911667,6,2,"E","Europe/Athens"
1461,"Kasos","Kasos","Greece","KSJ","LGKS",35.421358,26.910047,35,2,"E","Europe/Athens"
1462,"Megas Alexandros Intl","Kavala","Greece","KVA","LGKV",40.913306,24.619223,18,2,"E","Europe/Athens"
1463,"Filippos","Kozani","Greece","KZI","LGKZ",40.28611,21.840834,2059,2,"E","Europe/Athens"
1464,"Leros","Leros","Greece","LRS","LGLE",37.184903,26.800289,39,2,"E","Europe/Athens"
1465,"Limnos","Limnos","Greece","LXS","LGLM",39.917072,25.236308,14,2,"E","Europe/Athens"
1466,"Larisa","Larissa","Greece","LRA","LGLR",39.650253,22.4655,241,2,"E","Europe/Athens"
1467,"Megara","Megara","Greece","","LGMG",37.981114,23.365422,12,2,"E","Europe/Athens"
1468,"Mikonos","Mykonos","Greece","JMK","LGMK",37.435128,25.348103,405,2,"E","Europe/Athens"
1469,"Mitilini","Mytilini","Greece","MJT","LGMT",39.056667,26.598333,60,2,"E","Europe/Athens"
1470,"Aktio","Preveza","Greece","PVK","LGPZ",38.925467,20.765311,11,2,"E","Europe/Athens"
1471,"Maritsa","Rhodos","Greece","","LGRD",36.383056,28.108889,204,2,"E","Europe/Athens"
1472,"Rhodes Diagoras","Rhodos","Greece","RHO","LGRP",36.405419,28.086192,17,2,"E","Europe/Athens"
1473,"Araxos","Patras","Greece","GPA","LGRX",38.151111,21.425556,46,2,"E","Europe/Athens"
1474,"Souda","Chania","Greece","CHQ","LGSA",35.531747,24.149678,490,2,"E","Europe/Athens"
1475,"Alexandros Papadiamantis","Skiathos","Greece","JSI","LGSK",39.1771,23.503675,54,2,"E","Europe/Athens"
1476,"Samos","Samos","Greece","SMI","LGSM",37.689999,26.911667,19,2,"E","Europe/Athens"
6886,"Ashford","Lympne","United Kingdom","LYM","EGMK",51.083333,1.016667,351,0,"E","Europe/London"
1478,"Sparti","Sparti","Greece","","LGSP",36.973892,22.526292,500,2,"E","Europe/Athens"
1479,"Santorini","Thira","Greece","JTR","LGSR",36.399169,25.479333,127,2,"E","Europe/Athens"
1480,"Sitia","Sitia","Greece","JSH","LGST",35.216108,26.101325,376,2,"E","Europe/Athens"
1481,"Stefanovikion","Stefanovikion","Greece","","LGSV",39.48,22.767222,146,2,"E","Europe/Athens"
1482,"Skiros","Skiros","Greece","SKU","LGSY",38.967553,24.487228,44,2,"E","Europe/Athens"
1483,"Tanagra","Tanagra","Greece","","LGTG",38.339847,23.564958,485,2,"E","Europe/Athens"
1484,"Kasteli","Kasteli","Greece","","LGTL",35.192019,25.327,1180,2,"E","Europe/Athens"
1485,"Tripolis","Tripolis","Greece","","LGTP",37.530567,22.403633,2113,2,"E","Europe/Athens"
1486,"Makedonia","Thessaloniki","Greece","SKG","LGTS",40.519725,22.97095,22,2,"E","Europe/Athens"
1487,"Tatoi","Dekelia","Greece","","LGTT",38.108928,23.783836,785,2,"E","Europe/Athens"
1488,"Dionysios Solomos","Zakynthos","Greece","ZTH","LGZA",37.750853,20.88425,15,2,"E","Europe/Athens"
1489,"Ferihegy","Budapest","Hungary","BUD","LHBP",47.436933,19.255592,495,1,"E","Europe/Budapest"
1490,"Debrecen","Debrecen","Hungary","DEB","LHDC",47.488917,21.615333,359,1,"E","Europe/Budapest"
